# Time (s),Acceleration (g)
5.28,-0.081983879
5.30,-0.166211090
5.32,-0.087592229
5.34,-0.097993165
5.36,-0.040380117
5.38,-0.014989589
5.40,0.032528428
5.42,0.066076561
5.44,0.089325715
5.46,0.048129839
5.48,0.020190059
5.50,-0.002753190
5.52,0.029775240
5.54,0.045376648
5.56,0.080046447
5.58,0.105029100
5.60,0.137659500
5.62,0.164171690
5.64,0.189664190
5.66,0.130521600
5.68,0.065260798
5.70,0.020801879
5.72,0.032018579
5.74,0.038034808
5.76,0.050577117
5.78,0.023962949
5.80,-0.008565479
5.82,-0.017130959
5.84,-0.011522610
5.86,-0.023351129
5.88,-0.025288558
5.90,-0.016009289
5.92,-0.007035930
5.94,0.014989589
5.96,0.038646630
5.98,0.059040630
6.00,0.026002349
6.02,-0.004180770
6.04,-0.043643158
6.06,-0.013562010
6.08,0.009687150
6.10,0.023453099
6.12,-0.013154129
6.14,-0.005098500
6.16,0.008157600
6.18,0.021413699
6.20,0.038748599
6.22,0.052004698
6.24,0.016009289
6.26,-0.003263040
6.28,-0.011318670
6.30,0.000509850
6.32,0.007749720
6.34,0.003568950
6.36,-0.009687150
6.38,-0.003670920
6.40,-0.001631520
6.42,0.003874860
6.44,0.008667450
6.46,-0.005710320
6.48,-0.030998879
6.50,-0.042929367
6.52,-0.024880679
6.54,-0.024064920
6.56,-0.018048690
6.58,-0.013154129
6.60,-0.001835460
6.62,0.020699909
6.64,-0.011012760
6.66,-0.009279270
6.68,-0.003466980
6.70,-0.010808820
6.72,-0.011318670
6.74,-0.010095029
6.76,-0.000203940
6.78,0.007443810
6.80,0.023962949
6.82,0.036199349
6.84,0.071888848
6.86,0.079434629
6.88,0.018762479
6.90,-0.026818108
6.92,-0.012644279
6.94,-0.004282740
6.96,0.016213229
6.98,0.004894560
7.00,-0.022331429
7.02,-0.047619989
7.04,-0.043643158
7.06,-0.022025520
7.08,-0.004384710
7.10,0.016213229
7.12,0.032630399
7.14,0.042725430
7.16,0.012542310
7.18,-0.016315199
7.20,-0.020801879
7.22,-0.008361540
7.24,-0.021005820
7.26,-0.013969889
7.28,-0.005608350
7.30,0.005404410
7.32,0.013663979
7.34,0.027124019
7.36,0.023657040
7.38,0.008055630
7.40,-0.000815760
7.42,0.020393999
7.44,0.044356948
7.46,0.050169239
7.48,0.019476270
7.50,0.009381240
7.52,-0.002243340
7.54,-0.002141370
7.56,0.005302440
7.58,0.009483210
7.60,0.026002349
7.62,0.037524958
7.64,0.053534248
7.66,0.055165767
7.68,0.043337248
7.70,0.040584058
7.72,0.057001230
7.74,0.077089316
7.76,0.037219049
7.78,0.041909667
7.80,0.009993060
7.82,-0.020801879
7.84,-0.025390529
7.86,-0.041297849
7.88,-0.042113608
7.90,-0.048027867
7.92,-0.044153008
7.94,-0.046702258
7.96,-0.005812290
7.98,0.018150659
8.00,-0.021209758
8.02,-0.050169239
8.04,-0.054044098
8.06,-0.036913139
8.08,-0.041297849
8.10,-0.031406758
8.12,-0.032222519
8.14,-0.027022049
8.16,-0.027022049
8.18,-0.027429929
8.20,-0.035179649
8.22,-0.031508729
8.24,-0.022127490
8.26,-0.007953660
8.28,0.008871390
8.30,0.028653569
8.32,0.031610699
8.34,0.036505258
8.36,0.034771767
8.38,0.036505258
8.40,0.029265390
8.42,0.031100849
8.44,0.011420639
8.46,0.021821579
8.48,0.013867920
8.50,0.039156480
8.52,-0.087796165
8.54,-0.137659500
8.56,-0.136639800
8.58,-0.137659500
8.60,-0.121344300
8.62,-0.106048800
8.64,-0.084533129
8.66,-0.066382466
8.68,-0.045274680
8.70,-0.026308258
8.72,-0.006118200
8.74,-0.009279270
8.76,-0.018558540
8.78,-0.014989589
8.80,0.008667450
8.82,0.016621109
8.84,0.005098500
8.86,0.026920079
8.88,0.059346539
8.90,0.088407984
8.92,0.122364000
8.94,0.173348990
8.96,0.113186700
8.98,-0.112167000
9.00,-0.037321017
9.02,-0.045376648
9.04,-0.024064920
9.06,-0.097891197
9.08,-0.066892316
9.10,-0.060876089
9.12,-0.068319898
9.14,-0.056287439
9.16,-0.002753190
9.18,0.038544658
9.20,0.109107900
9.22,0.170289890
9.24,0.096565584
9.26,0.041603758
9.28,0.068013985
9.30,0.013460039
9.32,-0.009687150
9.34,-0.053024398
9.36,-0.084329184
9.38,-0.117265500
9.40,-0.117265500
9.42,-0.081881910
9.44,-0.037626930
9.46,0.002957130
9.48,0.055573648
9.50,0.120324600
9.52,0.164171690
9.54,-0.027531899
9.56,0.003466980
9.58,-0.005710320
9.60,0.002039400
9.62,0.014887620
9.64,0.054757889
9.66,0.081372060
9.68,-0.020903849
9.70,-0.060162298
9.72,-0.017232929
9.74,-0.017844749
9.76,-0.002855160
9.78,0.007545780
9.80,0.038952539
9.82,0.057816989
9.84,0.076783410
9.86,0.081677966
9.88,0.060366239
9.90,0.030998879
9.92,0.002345310
9.94,0.006526080
9.96,-0.041399817
9.98,-0.045988467
10.00,-0.008055630
10.02,0.017130959
10.04,0.057816989
10.06,0.009483210
10.08,-0.005608350
10.10,0.004486680
10.12,-0.012542310
10.14,-0.028755540
10.16,-0.044560889
10.18,-0.035893440
10.20,-0.026002349
10.22,-0.011318670
10.24,0.020903849
10.26,0.052922430
10.28,0.087082379
10.30,0.116245800
10.32,0.074744011
10.34,0.024166890
10.36,-0.037524958
10.38,-0.027633869
10.40,-0.022127490
10.42,-0.089019810
10.44,-0.099216810
10.46,-0.060060329
10.48,-0.034261917
10.50,0.007851690
10.52,0.026410229
10.54,0.051800757
10.56,0.036811167
10.58,0.008259570
10.60,-0.005710320
10.62,-0.021311729
10.64,-0.032324490
10.66,-0.024268858
10.68,-0.038340717
10.70,-0.056083498
10.72,-0.073622334
10.74,-0.081881910
10.76,-0.053330307
10.78,-0.034669799
10.80,-0.001121670
10.82,0.006628050
10.84,-0.003772890
10.86,-0.000509850
10.88,-0.017130959
10.90,-0.041807699
10.92,-0.008157600
10.94,0.008055630
10.96,0.038136780
10.98,0.062711548
11.00,0.067810048
11.02,0.025900379
11.04,-0.005812290
11.06,-0.048333780
11.08,-0.036301317
11.10,-0.024778708
11.12,-0.004894560
11.14,0.012848220
11.16,0.038646630
11.18,0.024574770
11.20,-0.023147190
11.22,-0.043643158
11.24,-0.069237629
11.26,-0.067402166
11.28,-0.060162298
11.30,-0.052310607
11.32,-0.041603758
11.34,-0.031508729
11.36,-0.027124019
11.38,-0.055165767
11.40,-0.064037157
11.42,-0.092588760
11.44,-0.113186700
11.46,-0.089835565
11.48,-0.078516897
11.50,-0.059346539
11.52,-0.048231808
11.54,-0.033956008
11.56,-0.020292029
11.58,0.002039400
11.60,0.021515670
11.62,0.044051039
11.64,0.062507607
11.66,0.078210984
11.68,0.095138010
11.70,0.109107900
11.72,0.115226100
11.74,0.121344300
11.76,0.127462500
11.78,0.135620100
11.80,0.162132290
11.82,0.183545990
11.84,0.208018790
11.86,0.126442800
11.88,0.045070739
11.90,-0.014275800
11.92,-0.067912016
11.94,-0.056593348
11.96,-0.070665211
11.98,-0.100338480
12.00,-0.127462500
12.02,-0.120324600
12.04,-0.107068500
12.06,-0.093812397
12.08,-0.075763710
12.10,-0.082493729
12.12,-0.086674497
12.14,-0.087694197
12.16,-0.088000110
12.18,-0.089019810
12.20,-0.088509960
12.22,-0.090243447
12.24,-0.054757889
12.26,0.005302440
12.28,0.021923549
12.30,0.024982649
12.32,0.059142598
12.34,0.032018579
12.36,0.024064920
12.38,0.049455448
12.40,0.060060329
12.42,0.053534248
12.44,0.036199349
12.46,0.020088090
12.48,0.020292029
12.50,0.050169239
12.52,0.034975708
12.54,0.029367358
12.56,0.044051039
12.58,0.024370829
12.60,0.008973360
12.62,0.007851690
12.64,-0.015091560
12.66,-0.007851690
12.68,-0.001937430
12.70,0.007647750
12.72,0.004486680
12.74,-0.014785649
12.76,-0.032222519
12.78,-0.024574770
12.80,-0.002855160
12.82,0.018558540
12.84,0.043439217
12.86,0.044764830
12.88,0.052208639
12.90,0.047518017
12.92,0.048843630
12.94,0.019680209
12.96,0.022637340
12.98,0.027939779
13.00,0.040074208
13.02,0.051392880
13.04,0.058836689
13.06,0.059958357
13.08,0.083819334
13.10,0.081270084
13.12,0.096769528
13.14,0.035179649
13.16,0.004588650
13.18,-0.012542310
13.20,-0.035383590
13.22,-0.043439217
13.24,-0.042419517
13.26,-0.028041749
13.28,-0.027531899
13.30,0.007545780
13.32,0.043643158
13.34,-0.023555070
13.36,-0.039462389
13.38,-0.008463510
13.40,0.014173829
13.42,0.045376648
13.44,0.002753190
13.46,-0.071073084
13.48,-0.081168116
13.50,-0.025594470
13.52,-0.013765950
13.54,0.008055630
13.56,-0.011726550
13.58,-0.025594470
13.60,-0.033956008
13.62,-0.027429929
13.64,-0.030692969
13.66,-0.020393999
13.68,-0.006831990
13.70,-0.003874860
13.72,0.010706850
13.74,0.030183119
13.76,0.035077680
13.78,0.097585284
13.80,0.091569060
13.82,0.018252629
13.84,-0.036913139
13.86,-0.101358180
13.88,-0.082289784
13.90,-0.075865679
13.92,-0.054961830
13.94,-0.033650099
13.96,-0.013052160
13.98,0.003161070
14.00,0.015091560
14.02,0.051800757
14.04,-0.002243340
14.06,-0.049863330
14.08,-0.036505258
14.10,-0.070461266
14.12,-0.052616517
14.14,-0.037830867
14.16,0.008973360
14.18,0.064445039
14.20,0.085756765
14.22,0.130521600
14.24,0.141738300
14.26,0.121344300
14.28,0.076579466
14.30,0.022943249
14.32,-0.008973360
14.34,-0.023147190
14.36,0.007545780
14.38,0.018456570
14.40,0.055471680
14.42,0.040686030
14.44,0.004588650
14.46,-0.008361540
14.48,-0.018864449
14.50,-0.002039400
14.52,0.000611820
14.54,-0.011930489
14.56,-0.021413699
14.58,-0.030896908
14.60,-0.052208639
14.62,-0.074132184
14.64,-0.059040630
14.66,-0.027124019
14.68,-0.018150659
14.70,0.004078800
14.72,0.009993060
14.74,0.013969889
14.76,0.022535370
14.78,0.044560889
14.80,0.009279270
14.82,-0.055879557
14.84,-0.056593348
14.86,-0.024778708
14.88,-0.008259570
14.90,0.025492499
14.92,0.041807699
14.94,0.018558540
14.96,-0.002753190
14.98,-0.024778708
15.00,-0.001529550
15.02,0.025186590
15.04,0.049149539
15.06,0.079842510
15.08,0.063425339
15.10,0.033752067
15.12,-0.001427580
15.14,-0.019884149
15.16,-0.025186590
15.18,-0.021617640
15.20,-0.011216700
15.22,0.005098500
15.24,0.024574770
15.26,-0.003466980
15.28,-0.022025520
15.30,-0.048027867
15.32,-0.037015108
15.34,-0.019884149
15.36,-0.001835460
15.38,0.017334899
15.40,-0.008157600
15.42,0.000509850
15.44,0.023453099
15.46,0.038136780
15.48,0.061283966
15.50,0.052616517
15.52,0.044051039
15.54,0.035077680
15.56,0.051494848
15.58,0.066586411
15.60,0.069645511
15.62,0.017538840
15.64,-0.017334899
15.66,-0.053738189
15.68,-0.067708079
15.70,-0.039462389
15.72,-0.022637340
15.74,-0.003365010
15.76,0.012134429
15.78,-0.013052160
15.80,-0.035791467
15.82,-0.052412580
15.84,-0.034159949
15.86,-0.022229458
15.88,-0.001223640
15.90,0.014479739
15.92,0.007137900
15.94,-0.006424110
15.96,-0.012236400
15.98,-0.032834340
16.00,-0.035281617
16.02,-0.009279270
16.04,0.007443810
16.06,0.031508729
16.08,0.048129839
16.10,0.061487907
16.12,0.058734716
16.14,0.033650099
16.16,-0.007443810
16.18,-0.079230684
16.20,-0.061997757
16.22,-0.044662858
16.24,-0.021311729
16.26,0.003161070
16.28,0.035689499
16.30,0.029877208
16.32,0.012338370
16.34,0.034465858
16.36,0.032324490
16.38,0.025900379
16.40,0.021005820
16.42,0.020190059
16.44,0.017742779
16.46,0.002141370
16.48,-0.014683679
16.50,-0.034975708
16.52,-0.034567830
16.54,-0.014785649
16.56,-0.002855160
16.58,0.017334899
16.60,-0.009789120
16.62,-0.026002349
16.64,-0.028449629
16.66,-0.039564358
16.68,-0.024676740
16.70,-0.021923549
16.72,-0.018558540
16.74,-0.017742779
16.76,-0.003874860
16.78,-0.002753190
16.80,-0.018864449
16.82,-0.012542310
16.84,0.008871390
16.86,0.034975708
16.88,0.070869148
16.90,0.092792697
16.92,0.086980410
16.94,0.077497197
16.96,0.052310607
16.98,0.018966420
17.00,0.001529550
17.02,-0.019374299
17.04,-0.015397470
17.06,-0.007443810
17.08,0.002141370
17.10,0.013154129
17.12,0.021923549
17.14,0.002447280
17.16,-0.012644279
17.18,-0.033548130
17.20,-0.052922430
17.22,-0.072194761
17.24,-0.059040630
17.26,-0.047110139
17.28,-0.031304790
17.30,-0.014785649
17.32,-0.000917730
17.34,-0.018354599
17.36,-0.032426458
17.38,-0.047416048
17.40,-0.039870267
17.42,-0.035179649
17.44,-0.032222519
17.46,-0.044356948
17.48,-0.050067267
17.50,-0.048435748
17.52,-0.042827399
17.54,-0.036811167
17.56,-0.028245690
17.58,-0.026308258
17.60,-0.014173829
17.62,-0.006933960
17.64,0.051698789
17.66,0.073622334
17.68,0.089529660
17.70,0.079740534
17.72,0.078007047
17.74,0.044764830
17.76,0.008157600
17.78,0.001325610
17.80,-0.012848220
17.82,-0.001529550
17.84,0.003059100
17.86,0.010604879
17.88,0.010604879
17.90,0.019680209
17.92,0.020903849
17.94,0.007545780
17.96,-0.005710320
17.98,-0.007341840
18.00,0.007137900
18.02,0.010808820
18.04,0.014989589
18.06,-0.000917730
18.08,-0.016213229
18.10,-0.019068390
18.12,-0.000713790
18.14,0.015805349
18.16,0.010706850
18.18,-0.011726550
18.20,-0.030794940
18.22,-0.031508729
18.24,-0.009687150
18.26,-0.005914260
18.28,0.000407880
18.30,0.002039400
18.32,0.005098500
18.34,0.005812290
18.36,0.009891090
18.38,0.013663979
18.40,0.018048690
18.42,0.022229458
18.44,0.026614169
18.46,0.030794940
18.48,0.035281617
18.50,0.039360417
18.52,0.048333780
18.54,0.040074208
18.56,0.024268858
18.58,0.011726550
18.60,-0.008055630
18.62,-0.012644279
18.64,0.005506380
18.66,0.002753190
18.68,-0.025492499
18.70,-0.057715016
18.72,-0.064241098
18.74,-0.060264266
18.76,-0.042113608
18.78,-0.006933960
18.80,0.027735840
18.82,0.028245690
18.84,-0.002141370
18.86,-0.006118200
18.88,-0.011216700
18.90,-0.022535370
18.92,-0.042419517
18.94,-0.052922430
18.96,-0.022637340
18.98,0.003059100
19.00,0.008055630
19.02,0.014173829
19.04,0.017436870
19.06,0.025798408
19.08,0.032936308
19.10,0.039870267
19.12,0.016723079
