# Time (s),Acceleration (g)
2.45000000,-0.01675848
2.46000000,-0.01674103
2.47000000,-0.01672292
2.48000000,-0.01671517
2.49000000,-0.01672810
2.50000000,-0.01675978
2.51000000,-0.01678564
2.52000000,-0.01679598
2.53000000,-0.01678952
2.54000000,-0.01676236
2.55000000,-0.01673327
2.56000000,-0.01672228
2.57000000,-0.01672939
2.58000000,-0.01675396
2.59000000,-0.01678370
2.60000000,-0.01680697
2.61000000,-0.01680956
2.62000000,-0.01678758
2.63000000,-0.01677012
2.64000000,-0.01675784
2.65000000,-0.01674232
2.66000000,-0.01673973
2.67000000,-0.01675396
2.68000000,-0.01676624
2.69000000,-0.01676883
2.70000000,-0.01676947
2.71000000,-0.01676818
2.72000000,-0.01676430
2.73000000,-0.01675978
2.74000000,-0.01675460
2.75000000,-0.01675719
2.76000000,-0.01675978
2.77000000,-0.01675396
2.78000000,-0.01675913
2.79000000,-0.01676689
2.80000000,-0.01676042
2.81000000,-0.01676107
2.82000000,-0.01677335
2.83000000,-0.01677206
2.84000000,-0.01675008
2.85000000,-0.01673456
2.86000000,-0.01674814
2.87000000,-0.01678046
2.88000000,-0.01680439
2.89000000,-0.01679857
2.90000000,-0.01677141
2.91000000,-0.01674943
2.92000000,-0.01673650
2.93000000,-0.01673521
2.94000000,-0.01674620
2.95000000,-0.01675525
2.96000000,-0.01675460
2.97000000,-0.01675008
2.98000000,-0.01675396
2.99000000,-0.01676883
3.00000000,-0.01678564
3.01000000,-0.01679210
3.02000000,-0.01678176
3.03000000,-0.01676689
3.04000000,-0.01676107
3.05000000,-0.01675719
3.06000000,-0.01675848
3.07000000,-0.01676624
3.08000000,-0.01676818
3.09000000,-0.01676689
3.10000000,-0.01676171
3.11000000,-0.01675654
3.12000000,-0.01675331
3.13000000,-0.01674684
3.14000000,-0.01674814
3.15000000,-0.01675460
3.16000000,-0.01676495
3.17000000,-0.01678499
3.18000000,-0.01679469
3.19000000,-0.01677465
3.20000000,-0.01675072
3.21000000,-0.01674491
3.22000000,-0.01675137
3.23000000,-0.01676624
3.24000000,-0.01677335
3.25000000,-0.01675590
3.26000000,-0.01673327
3.27000000,-0.01672163
3.28000000,-0.01673327
3.29000000,-0.01677335
3.30000000,-0.01680245
3.31000000,-0.01681344
3.32000000,-0.01680826
3.33000000,-0.01677723
3.34000000,-0.01675525
3.35000000,-0.01675008
3.36000000,-0.01675072
3.37000000,-0.01676365
3.38000000,-0.01677206
3.39000000,-0.01676689
3.40000000,-0.01674878
3.41000000,-0.01672357
3.42000000,-0.01672163
3.43000000,-0.01674491
3.44000000,-0.01677271
3.45000000,-0.01679081
3.46000000,-0.01679081
3.47000000,-0.01677529
3.48000000,-0.01675913
3.49000000,-0.01675590
