# Time (s),Acceleration (g)
2.45000000,-0.02009841
2.46000000,-0.02007708
2.47000000,-0.02006221
2.48000000,-0.02004669
2.49000000,-0.02002988
2.50000000,-0.02002342
2.51000000,-0.02003311
2.52000000,-0.02005251
2.53000000,-0.02006997
2.54000000,-0.02007126
2.55000000,-0.02007255
2.56000000,-0.02008807
2.57000000,-0.02009777
2.58000000,-0.02009389
2.59000000,-0.02008484
2.60000000,-0.02007255
2.61000000,-0.02005510
2.62000000,-0.02004023
2.63000000,-0.02003829
2.64000000,-0.02004281
2.65000000,-0.02004928
2.66000000,-0.02005122
2.67000000,-0.02004863
2.68000000,-0.02006350
2.69000000,-0.02008677
2.70000000,-0.02009065
2.71000000,-0.02008807
2.72000000,-0.02007514
2.73000000,-0.02003570
2.74000000,-0.02001307
2.75000000,-0.02003635
2.76000000,-0.02006932
2.77000000,-0.02009841
2.78000000,-0.02011005
2.79000000,-0.02007966
2.80000000,-0.02003376
2.81000000,-0.02002665
2.82000000,-0.02005251
2.83000000,-0.02006350
2.84000000,-0.02006027
2.85000000,-0.02007708
2.86000000,-0.02010682
2.87000000,-0.02011781
2.88000000,-0.02008807
2.89000000,-0.02003829
2.90000000,-0.02002406
2.91000000,-0.02005057
2.92000000,-0.02005962
2.93000000,-0.02003958
2.94000000,-0.02003635
2.95000000,-0.02005574
2.96000000,-0.02007643
2.97000000,-0.02008936
2.98000000,-0.02008484
2.99000000,-0.02006997
3.00000000,-0.02005833
3.01000000,-0.02006091
3.02000000,-0.02007384
3.03000000,-0.02006350
3.04000000,-0.02004087
3.05000000,-0.02004734
3.06000000,-0.02007190
3.07000000,-0.02007643
3.08000000,-0.02006285
3.09000000,-0.02004281
3.10000000,-0.02002923
3.11000000,-0.02004863
3.12000000,-0.02007966
3.13000000,-0.02008484
3.14000000,-0.02008613
3.15000000,-0.02009518
3.16000000,-0.02008419
3.17000000,-0.02006415
3.18000000,-0.02005316
3.19000000,-0.02004992
3.20000000,-0.02005768
3.21000000,-0.02006544
3.22000000,-0.02005057
3.23000000,-0.02003376
3.24000000,-0.02003505
3.25000000,-0.02005316
3.26000000,-0.02008290
3.27000000,-0.02011134
3.28000000,-0.02012427
3.29000000,-0.02010423
3.30000000,-0.02005057
3.31000000,-0.02002083
3.32000000,-0.02003699
3.33000000,-0.02004734
3.34000000,-0.02004604
3.35000000,-0.02005833
3.36000000,-0.02006932
3.37000000,-0.02008354
3.38000000,-0.02009841
3.39000000,-0.02007190
3.40000000,-0.02001760
3.41000000,-0.02000790
3.42000000,-0.02004992
3.43000000,-0.02007902
3.44000000,-0.02006609
3.45000000,-0.02004798
3.46000000,-0.02006156
3.47000000,-0.02008871
3.48000000,-0.02009324
3.49000000,-0.02008031
3.50000000,-0.02007643
3.51000000,-0.02007061
3.52000000,-0.02006221
3.53000000,-0.02006609
3.54000000,-0.02007126
3.55000000,-0.02006867
3.56000000,-0.02005380
3.57000000,-0.02004734
3.58000000,-0.02006544
3.59000000,-0.02007772
3.60000000,-0.02006997
3.61000000,-0.02007190
3.62000000,-0.02007902
3.63000000,-0.02007255
3.64000000,-0.02005962
3.65000000,-0.02004669
3.66000000,-0.02004087
3.67000000,-0.02004216
3.68000000,-0.02003893
3.69000000,-0.02004798
3.70000000,-0.02006156
3.71000000,-0.02005510
3.72000000,-0.02005574
3.73000000,-0.02006479
3.74000000,-0.02005833
3.75000000,-0.02006221
3.76000000,-0.02007708
3.77000000,-0.02007384
3.78000000,-0.02006609
3.79000000,-0.02006867
3.80000000,-0.02007384
3.81000000,-0.02008096
3.82000000,-0.02008484
3.83000000,-0.02008290
3.84000000,-0.02008160
3.85000000,-0.02008031
3.86000000,-0.02007061
3.87000000,-0.02004669
3.88000000,-0.02002859
3.89000000,-0.02003376
3.90000000,-0.02005186
3.91000000,-0.02006997
3.92000000,-0.02007966
3.93000000,-0.02008290
3.94000000,-0.02008677
3.95000000,-0.02007643
3.96000000,-0.02004863
3.97000000,-0.02003699
3.98000000,-0.02005445
3.99000000,-0.02008290
4.00000000,-0.02008936
4.01000000,-0.02007126
4.02000000,-0.02006091
4.03000000,-0.02005897
4.04000000,-0.02003829
4.05000000,-0.02001049
4.06000000,-0.02001760
4.07000000,-0.02004992
4.08000000,-0.02007061
4.09000000,-0.02009777
4.10000000,-0.02012427
4.11000000,-0.02010164
4.12000000,-0.02005574
4.13000000,-0.02002859
4.14000000,-0.02001566
4.15000000,-0.02003117
4.16000000,-0.02007772
4.17000000,-0.02011781
4.18000000,-0.02011845
4.19000000,-0.02008225
4.20000000,-0.02004216
4.21000000,-0.02001889
4.22000000,-0.02002342
4.23000000,-0.02005380
4.24000000,-0.02007966
4.25000000,-0.02009065
4.26000000,-0.02008871
4.27000000,-0.02007966
4.28000000,-0.02008354
4.29000000,-0.02008419
4.30000000,-0.02006350
4.31000000,-0.02004023
4.32000000,-0.02003247
4.33000000,-0.02004992
4.34000000,-0.02007320
4.35000000,-0.02007384
4.36000000,-0.02005768
4.37000000,-0.02004410
4.38000000,-0.02004992
4.39000000,-0.02006803
4.40000000,-0.02008096
4.41000000,-0.02008096
4.42000000,-0.02006609
4.43000000,-0.02004669
4.44000000,-0.02002794
4.45000000,-0.02001824
4.46000000,-0.02005122
4.47000000,-0.02010552
4.48000000,-0.02012233
4.49000000,-0.02009389
4.50000000,-0.02004798
4.51000000,-0.02003311
4.52000000,-0.02005703
4.53000000,-0.02007190
4.54000000,-0.02006479
4.55000000,-0.02006350
4.56000000,-0.02007643
4.57000000,-0.02008419
4.58000000,-0.02007126
4.59000000,-0.02005833
4.60000000,-0.02005445
4.61000000,-0.02004281
4.62000000,-0.02002923
4.63000000,-0.02004669
4.64000000,-0.02009971
4.65000000,-0.02012815
4.66000000,-0.02009324
4.67000000,-0.02004475
4.68000000,-0.02001954
4.69000000,-0.02001436
4.70000000,-0.02003247
4.71000000,-0.02006415
4.72000000,-0.02008936
4.73000000,-0.02009906
4.74000000,-0.02007966
4.75000000,-0.02004734
4.76000000,-0.02003376
4.77000000,-0.02003053
4.78000000,-0.02002988
4.79000000,-0.02005639
4.80000000,-0.02010229
4.81000000,-0.02011716
4.82000000,-0.02010358
4.83000000,-0.02008936
4.84000000,-0.02006285
4.85000000,-0.02003441
4.86000000,-0.02003570
4.87000000,-0.02004604
4.88000000,-0.02005057
4.89000000,-0.02007708
4.90000000,-0.02011458
4.91000000,-0.02012104
4.92000000,-0.02009195
4.93000000,-0.02004281
4.94000000,-0.01999949
4.95000000,-0.01998980
4.96000000,-0.02001824
4.97000000,-0.02006285
4.98000000,-0.02010164
4.99000000,-0.02012363
5.00000000,-0.02011651
5.01000000,-0.02007255
5.02000000,-0.02002342
5.03000000,-0.02000531
5.04000000,-0.02002471
5.05000000,-0.02006027
5.06000000,-0.02007708
5.07000000,-0.02007320
5.08000000,-0.02006867
5.09000000,-0.02006738
5.10000000,-0.02006479
5.11000000,-0.02005768
5.12000000,-0.02005380
5.13000000,-0.02007061
5.14000000,-0.02010682
5.15000000,-0.02012104
5.16000000,-0.02008871
5.17000000,-0.02004540
5.18000000,-0.02001954
5.19000000,-0.02000661
5.20000000,-0.02002212
5.21000000,-0.02006415
5.22000000,-0.02009324
5.23000000,-0.02010488
5.24000000,-0.02010035
5.25000000,-0.02007708
5.26000000,-0.02006867
5.27000000,-0.02007255
5.28000000,-0.02005380
5.29000000,-0.02004087
5.30000000,-0.02004604
5.31000000,-0.02003053
5.32000000,-0.02001760
5.33000000,-0.02004410
5.34000000,-0.02007384
5.35000000,-0.02009195
5.36000000,-0.02011716
5.37000000,-0.02011393
5.38000000,-0.02007061
5.39000000,-0.02004281
5.40000000,-0.02003699
5.41000000,-0.02002471
5.42000000,-0.02003441
5.43000000,-0.02006544
5.44000000,-0.02007126
5.45000000,-0.02007126
5.46000000,-0.02009001
5.47000000,-0.02010746
5.48000000,-0.02011005
5.49000000,-0.02007837
5.50000000,-0.02003182
5.51000000,-0.02002212
5.52000000,-0.02004281
5.53000000,-0.02006156
5.54000000,-0.02008160
5.55000000,-0.02009518
5.56000000,-0.02007384
5.57000000,-0.02003441
5.58000000,-0.02002923
5.59000000,-0.02005122
5.60000000,-0.02006027
5.61000000,-0.02006285
5.62000000,-0.02007708
5.63000000,-0.02009712
5.64000000,-0.02009583
5.65000000,-0.02005445
5.66000000,-0.02001695
5.67000000,-0.02002794
5.68000000,-0.02006285
5.69000000,-0.02008807
5.70000000,-0.02010423
5.71000000,-0.02009906
5.72000000,-0.02005768
5.73000000,-0.02002988
5.74000000,-0.02005186
5.75000000,-0.02007061
5.76000000,-0.02007643
5.77000000,-0.02008871
